Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Financier.MAUI\Financier.MAUI.csproj,File,src\Financier.MAUI\Financier.MAUI.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 10.0.3,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 10.0.3  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Financier.MAUI\Financier.MAUI.csproj,File,src\Financier.MAUI\Financier.MAUI.csproj,,,Microsoft.Extensions.Logging.Debug 10.0.3,,,,,"Microsoft.Extensions.Logging.Debug, 10.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Debug, and replace with new package Microsoft.Extensions.Logging.Debug 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Financier.MAUI\Financier.MAUI.csproj,File,src\Financier.MAUI\Financier.MAUI.csproj,,,,,,,,Current target framework: net10.0-android;net10.0-ios;net10.0-maccatalyst;net10.0-windows10.0.19041.0 Recommended target framework: net10.0-android;net10.0-ios;net10.0-maccatalyst;net10.0-windows10.0.19041.0;net11.0-windows
