Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\StringEmptyToVisibilityConverter.cs,6,91,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\StringEmptyToVisibilityConverter.cs,6,74,T:System.Windows.Markup.MarkupExtension,,,,,MarkupExtension
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\EnumDescriptionConverter.cs,8,44,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\InverseBooleanConverter.cs,4,5,"M:System.Windows.Data.ValueConversionAttribute.#ctor(System.Type,System.Type)",,,,,"ValueConversion(typeof(bool), typeof(bool))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\InverseBooleanConverter.cs,4,5,T:System.Windows.Data.ValueConversionAttribute,,,,,"ValueConversion(typeof(bool), typeof(bool))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\UnixTimeConverter.cs,6,37,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\BooleanConverter.cs,7,39,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Converters\CategoryTitleConverter.cs,8,42,T:System.Windows.Data.IMultiValueConverter,,,,,IMultiValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,17,8,T:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs,,,,,"private void DataGridAutoHeadersAutoGeneratingColumn(            object sender,            DataGridAutoGeneratingColumnEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.HorizontalAlignment,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.HorizontalAlignment,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,F:System.Windows.HorizontalAlignment.Right,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.FrameworkElement,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.DependencyProperty,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,F:System.Windows.FrameworkElement.HorizontalAlignmentProperty,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.Setter,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,"M:System.Windows.Setter.#ctor(System.Windows.DependencyProperty,System.Object)",,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.Controls.DataGridColumn,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.Column,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.Style,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,P:System.Windows.Controls.DataGridColumn.CellStyle,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,T:System.Windows.SetterBaseCollection,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,54,16,P:System.Windows.Style.Setters,,,,,"e.Column.CellStyle.Setters.Add(new Setter(HorizontalAlignmentProperty, HorizontalAlignment.Right));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,T:System.Windows.Style,,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,M:System.Windows.Style.#ctor(System.Type),,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,T:System.Windows.Controls.DataGridColumn,,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,P:System.Windows.Controls.DataGridAutoGeneratingColumnEventArgs.Column,,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,T:System.Windows.Style,,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,53,16,P:System.Windows.Controls.DataGridColumn.CellStyle,,,,,e.Column.CellStyle = new Style(typeof(DataGridCell));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,T:System.Windows.Visibility,,,,,e.Column.Visibility = Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Financier.Common\Financier.Common.csproj,File,src\Financier.Common\Controls\DataGridAutoHeaders.cs,48,20,T:System.Windows.Visibility,,,,,e.Column.Visibility = Visibility.Collapsed;
